Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,142.660004,142.800003,139.350006,140.699997,138.496948,3994100
2018-07-12,141.869995,142.190002,139.759995,140.270004,138.073700,2814500
2018-07-13,139.580002,140.440002,139.130005,139.940002,137.748871,3852200
2018-07-16,140.979996,141.800003,137.509995,138.889999,136.715317,5221300
2018-07-17,138.369995,139.029999,137.509995,138.259995,136.095169,5107700
2018-07-18,139.979996,141.990005,139.470001,141.250000,139.038361,5221600
2018-07-19,137.380005,141.809998,136.660004,140.410004,138.211517,6186100
2018-07-20,139.589996,142.130005,139.339996,141.410004,139.195862,4988700
2018-07-23,141.600006,144.899994,141.399994,144.850006,142.582001,5786400
2018-07-24,145.949997,146.570007,142.000000,142.389999,140.160507,4122600
2018-07-25,142.619995,146.240005,141.520004,146.039993,143.753342,3861800
2018-07-26,145.929993,149.039993,145.600006,147.720001,145.407043,5378200
2018-07-27,147.820007,148.779999,147.000000,148.559998,146.233887,3021700
2018-07-30,148.029999,150.479996,148.029999,148.520004,146.194534,2812000
2018-07-31,149.550003,151.500000,148.539993,149.889999,147.543060,4396500
2018-08-01,149.270004,150.399994,148.029999,148.369995,146.046875,2822600
2018-08-02,147.729996,150.389999,147.000000,149.940002,147.592300,2513100
2018-08-03,149.809998,150.130005,148.740005,149.779999,147.434799,1739000
2018-08-06,149.500000,150.330002,148.250000,149.110001,146.775284,2959200
2018-08-07,149.779999,150.300003,149.039993,149.880005,147.533234,2188400
2018-08-08,149.520004,150.839996,149.520004,149.979996,147.631668,1907400
2018-08-09,149.759995,150.389999,148.520004,148.759995,146.430756,1934800
2018-08-10,148.009995,149.399994,147.460007,148.839996,146.509506,2308600
2018-08-13,148.839996,149.820007,147.919998,148.630005,146.302811,2735100
2018-08-14,148.850006,151.100006,148.850006,150.190002,147.838394,3304300
2018-08-15,148.320007,149.619995,147.520004,148.979996,146.647324,4189000
2018-08-16,149.500000,150.259995,148.509995,149.250000,146.913086,3630000
2018-08-17,149.070007,150.169998,148.789993,149.460007,147.119812,2783100
2018-08-20,150.220001,151.789993,150.139999,150.850006,148.488052,3275000
