Date,Open,High,Low,Close,Adj Close,Volume
2018-05-14,83.889999,84.790001,83.650002,84.389999,82.562119,9499200
2018-05-15,84.059998,84.879997,83.800003,84.519997,82.689308,9322900
2018-05-16,84.870003,86.129997,84.739998,86.129997,84.264427,13733600
2018-05-17,87.040001,87.589996,83.849998,84.489998,82.659950,29720700
2018-05-18,84.239998,84.440002,83.489998,83.639999,81.828369,12043100
2018-05-21,84.139999,84.540001,83.820000,84.510002,82.679527,10715700
2018-05-22,84.500000,84.809998,83.290001,83.370003,81.564217,8067300
2018-05-23,82.949997,83.019997,82.169998,83.010002,81.212013,9231000
2018-05-24,83.000000,83.000000,81.779999,82.849998,81.055473,8576200
2018-05-25,82.849998,83.339996,82.320000,82.459999,80.673920,5913500
2018-05-29,81.959999,82.519997,81.809998,82.400002,80.615227,8428200
2018-05-30,82.449997,84.230003,82.260002,84.120003,82.297974,9314100
2018-05-31,83.940002,84.309998,82.510002,82.540001,80.752197,11468700
2018-06-01,83.040001,83.419998,82.849998,82.989998,81.192436,5237900
2018-06-04,83.500000,85.519997,83.300003,85.419998,83.569817,10922000
2018-06-05,85.449997,85.470001,84.250000,84.620003,82.787148,8281400
2018-06-06,84.949997,85.150002,84.349998,84.559998,82.728439,7362800
2018-06-07,84.779999,85.760002,84.690002,84.949997,83.109985,7705700
2018-06-08,84.779999,85.190002,84.139999,84.360001,82.532768,7602400
2018-06-11,84.410004,84.540001,83.790001,84.300003,82.474068,6252300
2018-06-12,84.320000,84.589996,83.470001,84.099998,82.278397,8061700
2018-06-13,83.889999,84.370003,83.849998,84.089996,82.268616,6358400
2018-06-14,84.220001,84.809998,83.669998,83.790001,81.975113,7517400
2018-06-15,83.500000,83.989998,83.059998,83.699997,81.887062,12503000
2018-06-18,83.050003,83.570000,82.820000,83.000000,81.202225,8502300
2018-06-19,82.599998,83.620003,82.370003,83.610001,81.799026,9352500
2018-06-20,83.709999,83.820000,83.160004,83.610001,81.799026,7966600
2018-06-21,83.400002,84.550003,82.900002,84.209999,82.386024,8092000
2018-06-22,84.459999,84.849998,84.099998,84.820000,82.982811,10813000
2018-06-25,84.589996,86.599998,84.480003,86.470001,84.597076,15939500
2018-06-26,86.529999,87.050003,85.760002,85.980003,84.117683,10126200
2018-06-27,85.900002,87.489998,85.550003,86.889999,85.007973,10299700
2018-06-28,86.849998,87.290001,85.690002,85.860001,84.000275,8467000
2018-06-29,85.900002,86.199997,85.519997,85.650002,83.794838,8255600
2018-07-02,85.650002,85.940002,83.400002,84.000000,82.180565,8125100
2018-07-03,84.089996,85.050003,84.089996,84.440002,82.611046,4396200
2018-07-05,84.940002,85.580002,84.269997,84.570000,82.738220,5367500
2018-07-06,84.199997,84.870003,83.820000,84.510002,82.679527,5613700
